id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_493,"Áo xọc đen kì lạ","At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus.",https://greatify.live/wp-content/uploads/2022/03/woman-wear-stripe-shirt.jpg,https://greatify.live/san-pham/ao-xoc-den-ki-la/,"Nữ","Greatify",79000VND,in stock,wc_post_id_493,https://greatify.live/gio-hang/?add-to-cart=493,"https://greatify.live/wp-content/uploads/2022/03/woman-wear-stripe-shirt-3.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-wear-stripe-shirt-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,79000VND,new,published,,
wc_post_id_494,"Áo hai dây trắng"," Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid.",https://greatify.live/wp-content/uploads/2022/03/women-wear-white-tanktop.jpg,https://greatify.live/san-pham/ao-hai-day-trang/,"Nữ","Greatify",15000VND,in stock,wc_post_id_494,https://greatify.live/gio-hang/?add-to-cart=494,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15000VND,new,published,,
wc_post_id_495,"Áo sơ mi chấm bi","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur.",https://greatify.live/wp-content/uploads/2022/03/men-with-sunglass-and-polka-dots-shirt.jpg,https://greatify.live/san-pham/ao-so-mi-cham-bi/,"Nam","Greatify",15000VND,in stock,wc_post_id_495,https://greatify.live/gio-hang/?add-to-cart=495,"https://greatify.live/wp-content/uploads/2022/03/men-with-sunglass-and-polka-dots-shirt-3.jpg,https://greatify.live/wp-content/uploads/2022/03/men-with-sunglass-and-polka-dots-shirt-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15000VND,new,published,,
wc_post_id_496,"Áo vest đen phụ nữ","Teleniti atque corrupti ero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum  quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga.",https://greatify.live/wp-content/uploads/2022/03/model-wearing-black-suit.jpg,https://greatify.live/san-pham/ao-vest-den-phu-nu/,"Nữ","Greatify",189000VND,in stock,wc_post_id_496,https://greatify.live/gio-hang/?add-to-cart=496,"https://greatify.live/wp-content/uploads/2022/03/model-wearing-black-suit-2-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,189000VND,new,published,,
wc_post_id_497,"Áo công sở nam","Vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus.",https://greatify.live/wp-content/uploads/2022/03/men-wearing-office-suit.jpg,https://greatify.live/san-pham/ao-cong-so-nam/,"Nam","Greatify",245000VND,in stock,wc_post_id_497,https://greatify.live/gio-hang/?add-to-cart=497,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,215000VND,new,published,,
wc_post_id_498,"Áo thun ôm sọc đen","Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus.",https://greatify.live/wp-content/uploads/2022/03/model-wearing-stripe-shirt.jpg,https://greatify.live/san-pham/ao-thun-om-soc-den/,"Nữ","Greatify",23000VND,in stock,wc_post_id_498,https://greatify.live/gio-hang/?add-to-cart=498,"https://greatify.live/wp-content/uploads/2022/03/model-wearing-stripe-shirt-3.jpg,https://greatify.live/wp-content/uploads/2022/03/model-wearing-stripe-shirt-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,23000VND,new,published,,
wc_post_id_499,"Áo sơ mi xanh","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://greatify.live/wp-content/uploads/2022/03/men-wear-blue-shirt.jpg,https://greatify.live/san-pham/ao-so-mi-xanh/,"Nam","Greatify",170000VND,in stock,wc_post_id_499,https://greatify.live/gio-hang/?add-to-cart=499,"https://greatify.live/wp-content/uploads/2022/03/men-wear-blue-shirt-3.jpg,https://greatify.live/wp-content/uploads/2022/03/men-wear-blue-shirt-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,170000VND,new,published,,
wc_post_id_501,"Summer Beach (Slide Cart)","Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur.",https://greatify.live/wp-content/uploads/2022/03/girl-wearing-hat-big-800x1085-1.jpg,https://greatify.live/san-pham/summer-beach-slide-cart/,"Nữ","Greatify",20VND,in stock,wc_post_id_501,https://greatify.live/gio-hang/?add-to-cart=501,"https://greatify.live/wp-content/uploads/2022/03/beautiful-model-wearimg-summer-shirt-3.jpg,https://greatify.live/wp-content/uploads/2022/03/beautiful-model-wearimg-summer-shirt-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20VND,new,published,,
wc_post_id_502,"Flaire Dress","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam.",https://greatify.live/wp-content/uploads/2022/03/woman-wearing-blue-flaire-dress.jpg,https://greatify.live/san-pham/flaire-dress/,"Nữ","Greatify",87VND,in stock,wc_post_id_502,https://greatify.live/gio-hang/?add-to-cart=502,"https://greatify.live/wp-content/uploads/2022/03/woman-wearing-blue-flaire-dress-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87VND,new,published,,
wc_post_id_503,"Aerobic Outfit","Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus.",https://greatify.live/wp-content/uploads/2022/03/woman-with-white-aerobic-suit-3.jpg,https://greatify.live/san-pham/aerobic-outfit/,"Nữ","Greatify",25VND,in stock,wc_post_id_503,https://greatify.live/gio-hang/?add-to-cart=503,"https://greatify.live/wp-content/uploads/2022/03/woman-with-white-aerobic-suit-2.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-with-white-aerobic-suit.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25VND,new,published,,
wc_post_id_504,"Elegant Black Bag","Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid.",https://greatify.live/wp-content/uploads/2022/03/woman-holding-black-bag.jpg,https://greatify.live/san-pham/elegant-black-bag/,"Nữ, Phụ kiện","Greatify",300VND,in stock,wc_post_id_504,https://greatify.live/gio-hang/?add-to-cart=504,"https://greatify.live/wp-content/uploads/2022/03/woman-holding-black-bag-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,300VND,new,published,,
wc_post_id_505,"Men's Fedora Hat","Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus.",https://greatify.live/wp-content/uploads/2022/03/men-wearing-fedora-hat.jpg,https://greatify.live/san-pham/152/,"Nam, Phụ kiện","Greatify",50VND,in stock,wc_post_id_505,https://greatify.live/gio-hang/?add-to-cart=505,"https://greatify.live/wp-content/uploads/2022/03/men-wearing-fedora-hat-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50VND,new,published,,
wc_post_id_506,"Stylish Summer"," Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur.",https://greatify.live/wp-content/uploads/2022/03/model-wear-casual-summer-t-shirt.jpg,https://greatify.live/san-pham/stylish-summer/,"Nữ","Greatify",20VND,in stock,wc_post_id_506,https://greatify.live/gio-hang/?add-to-cart=506,"https://greatify.live/wp-content/uploads/2022/03/model-wear-casual-summer-t-shirt-3.jpg,https://greatify.live/wp-content/uploads/2022/03/model-wear-casual-summer-t-shirt-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20VND,new,published,,
wc_post_id_507,"Retro Frizzy Wig","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam.",https://greatify.live/wp-content/uploads/2022/03/woman-wearing-retro-frizzy-wig.jpg,https://greatify.live/san-pham/retro-frizzy-wig/,"Nữ, Phụ kiện","Greatify",15VND,in stock,wc_post_id_507,https://greatify.live/gio-hang/?add-to-cart=507,"https://greatify.live/wp-content/uploads/2022/03/woman-wearing-retro-frizzy-wig-3.jpg,https://greatify.live/wp-content/uploads/2022/03/woman-wearing-retro-frizzy-wig-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15VND,new,published,,
wc_post_id_508,"Stylish Beige Blazer","Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur.",https://greatify.live/wp-content/uploads/2022/03/men-with-blazer.jpg,https://greatify.live/san-pham/stylish-beige-blazer/,"Nam","Greatify",150VND,in stock,wc_post_id_508,https://greatify.live/gio-hang/?add-to-cart=508,"https://greatify.live/wp-content/uploads/2022/03/men-with-blazer-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,150VND,new,published,,
wc_post_id_509,"Girl Outfit","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur.",https://greatify.live/wp-content/uploads/2022/03/girl-wearing-blue-outfit.jpg,https://greatify.live/san-pham/girl-outfit/,"Trẻ em","Greatify",25VND,in stock,wc_post_id_509,https://greatify.live/gio-hang/?add-to-cart=509,"https://greatify.live/wp-content/uploads/2022/03/girl-wearing-blue-outfit-3.jpg,https://greatify.live/wp-content/uploads/2022/03/girl-wearing-blue-outfit-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25VND,new,published,,
wc_post_id_510,"Brown Bag","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur.",https://greatify.live/wp-content/uploads/2022/03/stylish-woman-golding-brown-bag.jpg,https://greatify.live/san-pham/brown-bag/,"Nữ, Phụ kiện","Greatify",75VND,in stock,wc_post_id_510,https://greatify.live/gio-hang/?add-to-cart=510,"https://greatify.live/wp-content/uploads/2022/03/stylish-woman-golding-brown-bag-2-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,75VND,new,published,,
